Country Name,Country Code,Group,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,BLR,"Population ages 15-64, female",3491041,3483650,3474642,3468371,3464897,3461930,3468173,3478062,3485841,3485812,3471952,3453160,3432349,3411617,3392232,3378849,3356468,3324827,3287527,3239960,3194585
Belarus,BLR,"Population ages 15-64, male",3290004,3283966,3276794,3271838,3268638,3260293,3259487,3261890,3263774,3261003,3243593,3224228,3205467,3188823,3175041,3161630,3143438,3120812,3095577,3061442,3027783
Belarus,BLR,"Population ages 65 and above, female",915349,931186,945978,954954,954901,950167,938997,924346,911294,902413,898647,898980,903264,910225,919147,923737,931076,944684,963999,982925,1005973
Belarus,BLR,"Population ages 65 and above, male",454576,464842,472346,473975,468093,463785,454361,442229,430868,421921,421945,424067,427709,431827,435946,441398,447624,456525,467867,478489,497597
Belgium,BEL,"Population ages 0-14, male",917146,916266,916613,917193,918333,921833,925329,929200,933825,940342,954377,961146,966457,972159,980023,986978,993610,1001201,1008667,1013506,1013018
Belgium,BEL,"Population ages 0-14, female",876739,876411,876913,877541,878756,881638,884785,888527,893003,899132,913128,920102,925489,930738,937059,941232,944299,947737,951163,952936,952403
Belgium,BEL,"Population ages 15-64, female",3345372,3358323,3370327,3384259,3404190,3429064,3459492,3492752,3524294,3555526,3596903,3611585,3618284,3622283,3630451,3631492,3626878,3624530,3625879,3625904,3623615
Belgium,BEL,"Population ages 15-64, male",3397706,3412650,3426882,3443160,3465474,3489042,3518377,3550701,3581354,3611937,3649376,3659879,3664021,3668642,3681262,3689841,3696349,3706610,3719665,3729137,3730710
Belgium,BEL,"Population ages 65 and above, female",1025901,1034905,1042322,1048599,1054928,1060932,1065541,1070291,1077519,1090157,1107582,1121502,1136217,1150515,1164803,1181221,1194964,1209059,1225378,1243555,1263259
Belgium,BEL,"Population ages 65 and above, male",723706,734230,743076,750385,756936,765450,772176,778503,786498,798492,816898,832718,848941,864720,880597,900658,919058,937917,958228,979201,1004876
Belize,BLZ,"Population ages 0-14, male",52069,53140,54089,54950,55758,56273,56763,57221,57627,57979,58199,58428,58609,58696,58692,58837,58867,58838,58840,58913,59102
